date,cpi_inflation_rate,bank_rate,wage_growth_rate,unemployment_rate
2015-01-31,0.3,0.5,1.8,5.6
2015-02-28,0.0,0.5,1.7,5.5
2015-03-31,0.0,0.5,2.3,5.5
2015-04-30,-0.1,0.5,2.7,5.6
2015-05-31,0.1,0.5,3.1,5.6
2015-06-30,0.0,0.5,2.5,5.5
2015-07-31,0.1,0.5,2.8,5.4
2015-08-31,0.0,0.5,3.0,5.3
2015-09-30,-0.1,0.5,2.9,5.2
2015-10-31,-0.1,0.5,2.4,5.1
2015-11-30,0.1,0.5,2.0,5.1
2015-12-31,0.2,0.5,1.9,5.1
2016-01-31,0.3,0.5,2.2,5.1
2016-02-29,0.3,0.5,2.0,5.1
2016-03-31,0.5,0.5,2.1,5.0
2016-04-30,0.3,0.5,2.2,4.9
2016-05-31,0.3,0.5,2.4,4.9
2016-06-30,0.5,0.5,2.6,4.9
2016-07-31,0.6,0.5,2.5,5.0
2016-08-31,0.6,0.2841,2.4,4.8
2016-09-30,1.0,0.25,2.4,4.8
2016-10-31,0.9,0.25,2.5,4.8
2016-11-30,1.2,0.25,2.7,4.7
2016-12-31,1.6,0.25,2.5,4.7
2017-01-31,1.8,0.25,2.1,4.6
2017-02-28,2.3,0.25,2.1,4.6
2017-03-31,2.3,0.25,2.3,4.5
2017-04-30,2.7,0.25,2.2,4.4
2017-05-31,2.9,0.25,1.9,4.4
2017-06-30,2.6,0.25,2.2,4.3
2017-07-31,2.6,0.25,2.2,4.3
2017-08-31,2.9,0.25,2.4,4.3
2017-09-30,3.0,0.25,2.3,4.2
2017-10-31,3.0,0.25,2.6,4.3
2017-11-30,3.1,0.4886,2.5,4.4
2017-12-31,3.0,0.5,2.6,4.3
2018-01-31,3.0,0.5,2.7,4.2
2018-02-28,2.7,0.5,2.9,4.2
2018-03-31,2.5,0.5,2.6,4.2
2018-04-30,2.4,0.5,2.6,4.2
2018-05-31,2.4,0.5,2.5,4.0
2018-06-30,2.4,0.5,2.4,4.0
2018-07-31,2.5,0.5,2.7,4.0
2018-08-31,2.7,0.7386,2.9,4.1
2018-09-30,2.4,0.75,3.1,4.1
2018-10-31,2.4,0.75,3.4,4.0
2018-11-30,2.3,0.75,3.4,4.0
2018-12-31,2.1,0.75,3.5,3.9
2019-01-31,1.8,0.75,3.4,4.0
2019-02-28,1.9,0.75,3.6,3.8
2019-03-31,1.9,0.75,3.3,3.8
2019-04-30,2.1,0.75,3.2,3.8
2019-05-31,2.0,0.75,3.3,3.9
2019-06-30,2.0,0.75,3.9,3.9
2019-07-31,2.1,0.75,4.0,3.9
2019-08-31,1.7,0.75,3.8,3.9
2019-09-30,1.7,0.75,3.8,3.8
2019-10-31,1.5,0.75,3.2,3.8
2019-11-30,1.5,0.75,3.2,3.7
2019-12-31,1.3,0.75,2.7,3.9
2020-01-31,1.8,0.75,3.0,3.9
2020-02-29,1.7,0.75,2.8,4.1
2020-03-31,1.5,0.3477,2.2,4.1
2020-04-30,0.8,0.1,0.9,4.1
2020-05-31,0.5,0.1,-0.4,4.1
2020-06-30,0.6,0.1,-1.2,4.4
2020-07-31,1.0,0.1,-0.9,4.6
2020-08-31,0.2,0.1,0.2,5.0
2020-09-30,0.5,0.1,1.5,5.2
2020-10-31,0.7,0.1,2.8,5.2
2020-11-30,0.3,0.1,3.7,5.3
2020-12-31,0.6,0.1,4.6,5.2
2021-01-31,0.7,0.1,4.8,5.0
2021-02-28,0.4,0.1,4.5,4.9
2021-03-31,0.7,0.1,4.2,4.8
2021-04-30,1.5,0.1,5.6,4.8
2021-05-31,2.1,0.1,7.4,4.7
2021-06-30,2.5,0.1,8.9,4.6
2021-07-31,2.0,0.1,8.4,4.5
2021-08-31,3.2,0.1,7.2,4.4
2021-09-30,3.1,0.1,6.0,4.3
2021-10-31,4.2,0.1,5.1,4.2
2021-11-30,5.1,0.1,4.4,4.2
2021-12-31,5.4,0.1714,4.9,4.1
2022-01-31,5.5,0.25,5.2,3.9
2022-02-28,6.2,0.475,5.9,3.8
2022-03-31,7.0,0.6196,7.2,3.8
2022-04-30,9.0,0.75,7.1,3.7
2022-05-31,9.1,0.9762,6.5,3.8
2022-06-30,9.4,1.1375,5.3,3.6
2022-07-31,10.1,1.25,5.5,3.6
2022-08-31,9.9,1.6818,6.1,3.7
2022-09-30,10.1,1.9167,6.0,3.8
2022-10-31,11.1,2.25,6.2,3.9
2022-11-30,10.7,2.9318,6.6,3.9
2022-12-31,10.5,3.25,6.2,3.9
2023-01-31,10.1,3.5,6.1,4.0
2023-02-28,10.4,3.975,5.9,4.0
2023-03-31,10.1,4.0761,6.2,3.9
2023-04-30,8.7,4.25,6.7,4.0
2023-05-31,8.7,4.425,7.2,4.2
2023-06-30,7.9,4.6591,8.3,4.4
2023-07-31,6.8,5.0,8.5,4.3
2023-08-31,6.7,5.2273,8.2,4.1
2023-09-30,6.7,5.25,7.9,4.0
2023-10-31,4.6,5.25,7.1,4.0
2023-11-30,3.9,5.25,6.6,3.9
2023-12-31,4.0,5.25,5.8,4.1
2024-01-31,4.0,5.25,5.8,4.2
2024-02-29,3.4,5.25,5.7,4.3
2024-03-31,3.2,5.25,5.8,4.4
2024-04-30,2.3,5.25,5.7,4.4
2024-05-31,2.0,5.25,5.7,4.2
2024-06-30,2.0,5.25,4.8,4.2
2024-07-31,2.2,5.25,4.4,4.1
2024-08-31,2.2,5.0,4.1,4.3
2024-09-30,1.7,5.0,4.6,4.2
2024-10-31,2.3,5.0,5.3,4.4
2024-11-30,2.6,4.7976,5.5,4.4
2024-12-31,2.5,4.75,6.0,4.4
2025-01-31,3.0,4.75,5.7,4.5
2025-02-28,2.8,4.5375,5.7,4.6
2025-03-31,2.6,4.5,5.5,4.6
2025-04-30,3.5,4.5,5.3,4.7
2025-05-31,3.4,4.3,5.0,4.7
2025-06-30,3.6,4.25,4.7,4.7
2025-07-31,3.8,4.25,4.9,4.8
2025-08-31,3.8,4.05,5.0,5.0
2025-09-30,3.8,4.0,4.9,5.1
2025-10-31,3.6,4.0,4.8,5.1
2025-11-30,3.2,4.0,4.6,5.2
2025-12-31,3.4,3.9048,4.2,5.2
2026-01-31,3.0,3.75,4.1,4.9
2026-02-28,3.0,3.75,3.9,5.0
2026-03-31,3.3,3.75,4.4,4.9
2026-04-30,2.8,3.75,4.4,4.9
2026-05-31,2.8,3.75,4.4,4.9
2026-06-30,2.6,3.75,4.2,4.9
2026-07-31,2.9,3.75,3.9,
2026-08-31,3.1,3.75,,
