DATE,IUMABEDR
31 Jan 2015,0.5
28 Feb 2015,0.5
31 Mar 2015,0.5
30 Apr 2015,0.5
31 May 2015,0.5
30 Jun 2015,0.5
31 Jul 2015,0.5
31 Aug 2015,0.5
30 Sep 2015,0.5
31 Oct 2015,0.5
30 Nov 2015,0.5
31 Dec 2015,0.5
31 Jan 2016,0.5
29 Feb 2016,0.5
31 Mar 2016,0.5
30 Apr 2016,0.5
31 May 2016,0.5
30 Jun 2016,0.5
31 Jul 2016,0.5
31 Aug 2016,0.2841
30 Sep 2016,0.25
31 Oct 2016,0.25
30 Nov 2016,0.25
31 Dec 2016,0.25
31 Jan 2017,0.25
28 Feb 2017,0.25
31 Mar 2017,0.25
30 Apr 2017,0.25
31 May 2017,0.25
30 Jun 2017,0.25
31 Jul 2017,0.25
31 Aug 2017,0.25
30 Sep 2017,0.25
31 Oct 2017,0.25
30 Nov 2017,0.4886
31 Dec 2017,0.5
31 Jan 2018,0.5
28 Feb 2018,0.5
31 Mar 2018,0.5
30 Apr 2018,0.5
31 May 2018,0.5
30 Jun 2018,0.5
31 Jul 2018,0.5
31 Aug 2018,0.7386
30 Sep 2018,0.75
31 Oct 2018,0.75
30 Nov 2018,0.75
31 Dec 2018,0.75
31 Jan 2019,0.75
28 Feb 2019,0.75
31 Mar 2019,0.75
30 Apr 2019,0.75
31 May 2019,0.75
30 Jun 2019,0.75
31 Jul 2019,0.75
31 Aug 2019,0.75
30 Sep 2019,0.75
31 Oct 2019,0.75
30 Nov 2019,0.75
31 Dec 2019,0.75
31 Jan 2020,0.75
29 Feb 2020,0.75
31 Mar 2020,0.3477
30 Apr 2020,0.1
31 May 2020,0.1
30 Jun 2020,0.1
31 Jul 2020,0.1
31 Aug 2020,0.1
30 Sep 2020,0.1
31 Oct 2020,0.1
30 Nov 2020,0.1
31 Dec 2020,0.1
31 Jan 2021,0.1
28 Feb 2021,0.1
31 Mar 2021,0.1
30 Apr 2021,0.1
31 May 2021,0.1
30 Jun 2021,0.1
31 Jul 2021,0.1
31 Aug 2021,0.1
30 Sep 2021,0.1
31 Oct 2021,0.1
30 Nov 2021,0.1
31 Dec 2021,0.1714
31 Jan 2022,0.25
28 Feb 2022,0.475
31 Mar 2022,0.6196
30 Apr 2022,0.75
31 May 2022,0.9762
30 Jun 2022,1.1375
31 Jul 2022,1.25
31 Aug 2022,1.6818
30 Sep 2022,1.9167
31 Oct 2022,2.25
30 Nov 2022,2.9318
31 Dec 2022,3.25
31 Jan 2023,3.5
28 Feb 2023,3.975
31 Mar 2023,4.0761
30 Apr 2023,4.25
31 May 2023,4.425
30 Jun 2023,4.6591
31 Jul 2023,5
31 Aug 2023,5.2273
30 Sep 2023,5.25
31 Oct 2023,5.25
30 Nov 2023,5.25
31 Dec 2023,5.25
31 Jan 2024,5.25
29 Feb 2024,5.25
31 Mar 2024,5.25
30 Apr 2024,5.25
31 May 2024,5.25
30 Jun 2024,5.25
31 Jul 2024,5.25
31 Aug 2024,5
30 Sep 2024,5
31 Oct 2024,5
30 Nov 2024,4.7976
31 Dec 2024,4.75
31 Jan 2025,4.75
28 Feb 2025,4.5375
31 Mar 2025,4.5
30 Apr 2025,4.5
31 May 2025,4.3
30 Jun 2025,4.25
31 Jul 2025,4.25
31 Aug 2025,4.05
30 Sep 2025,4
31 Oct 2025,4
30 Nov 2025,4
31 Dec 2025,3.9048
31 Jan 2026,3.75
28 Feb 2026,3.75
31 Mar 2026,3.75
30 Apr 2026,3.75
31 May 2026,3.75
30 Jun 2026,3.75
31 Jul 2026,3.75
31 Aug 2026,3.75
