"Title","AWE: Whole Economy Year on Year Three Month Average Growth (%): Seasonally Adjusted Total Pay Excluding Arrears"
"CDID","KAC3"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","%"
"Release date","15-09-2026"
"Next release","20 October 2026"
"Important notes",
"2001 MAR","6.1"
"2001 APR","6.2"
"2001 MAY","5.1"
"2001 JUN","5.5"
"2001 JUL","5.2"
"2001 AUG","5.3"
"2001 SEP","4.8"
"2001 OCT","4.8"
"2001 NOV","4.6"
"2001 DEC","4.2"
"2002 JAN","3.8"
"2002 FEB","3.2"
"2002 MAR","3.0"
"2002 APR","3.0"
"2002 MAY","3.3"
"2002 JUN","3.7"
"2002 JUL","3.8"
"2002 AUG","3.6"
"2002 SEP","3.4"
"2002 OCT","3.1"
"2002 NOV","3.0"
"2002 DEC","2.8"
"2003 JAN","2.5"
"2003 FEB","2.2"
"2003 MAR","2.8"
"2003 APR","3.0"
"2003 MAY","3.3"
"2003 JUN","2.7"
"2003 JUL","2.7"
"2003 AUG","2.9"
"2003 SEP","3.3"
"2003 OCT","3.7"
"2003 NOV","3.9"
"2003 DEC","4.1"
"2004 JAN","5.2"
"2004 FEB","4.9"
"2004 MAR","4.7"
"2004 APR","3.7"
"2004 MAY","4.1"
"2004 JUN","4.2"
"2004 JUL","4.1"
"2004 AUG","4.1"
"2004 SEP","4.1"
"2004 OCT","4.2"
"2004 NOV","4.2"
"2004 DEC","4.3"
"2005 JAN","4.2"
"2005 FEB","4.6"
"2005 MAR","4.5"
"2005 APR","4.6"
"2005 MAY","4.3"
"2005 JUN","4.5"
"2005 JUL","4.6"
"2005 AUG","4.8"
"2005 SEP","5.0"
"2005 OCT","4.8"
"2005 NOV","4.7"
"2005 DEC","4.6"
"2006 JAN","4.2"
"2006 FEB","4.4"
"2006 MAR","4.9"
"2006 APR","5.3"
"2006 MAY","5.0"
"2006 JUN","4.9"
"2006 JUL","5.0"
"2006 AUG","4.7"
"2006 SEP","4.1"
"2006 OCT","4.0"
"2006 NOV","4.2"
"2006 DEC","4.9"
"2007 JAN","5.4"
"2007 FEB","6.2"
"2007 MAR","5.8"
"2007 APR","5.3"
"2007 MAY","4.5"
"2007 JUN","4.4"
"2007 JUL","4.6"
"2007 AUG","4.8"
"2007 SEP","5.2"
"2007 OCT","5.0"
"2007 NOV","4.9"
"2007 DEC","4.1"
"2008 JAN","3.8"
"2008 FEB","3.5"
"2008 MAR","4.1"
"2008 APR","4.5"
"2008 MAY","4.7"
"2008 JUN","4.2"
"2008 JUL","3.7"
"2008 AUG","3.3"
"2008 SEP","3.1"
"2008 OCT","3.1"
"2008 NOV","2.8"
"2008 DEC","2.8"
"2009 JAN","1.0"
"2009 FEB","-1.8"
"2009 MAR","-2.9"
"2009 APR","-1.8"
"2009 MAY","0.5"
"2009 JUN","1.2"
"2009 JUL","0.9"
"2009 AUG","0.8"
"2009 SEP","0.7"
"2009 OCT","0.6"
"2009 NOV","0.7"
"2009 DEC","0.7"
"2010 JAN","2.0"
"2010 FEB","4.6"
"2010 MAR","5.0"
"2010 APR","3.8"
"2010 MAY","1.3"
"2010 JUN","1.0"
"2010 JUL","1.2"
"2010 AUG","1.3"
"2010 SEP","1.5"
"2010 OCT","1.7"
"2010 NOV","1.8"
"2010 DEC","1.9"
"2011 JAN","2.7"
"2011 FEB","2.6"
"2011 MAR","2.8"
"2011 APR","2.1"
"2011 MAY","2.4"
"2011 JUN","2.5"
"2011 JUL","2.8"
"2011 AUG","2.7"
"2011 SEP","2.2"
"2011 OCT","1.9"
"2011 NOV","1.9"
"2011 DEC","1.9"
"2012 JAN","1.2"
"2012 FEB","0.8"
"2012 MAR","0.6"
"2012 APR","1.3"
"2012 MAY","1.5"
"2012 JUN","1.6"
"2012 JUL","1.5"
"2012 AUG","1.7"
"2012 SEP","1.8"
"2012 OCT","1.7"
"2012 NOV","1.5"
"2012 DEC","1.2"
"2013 JAN","1.1"
"2013 FEB","1.0"
"2013 MAR","0.5"
"2013 APR","1.4"
"2013 MAY","1.6"
"2013 JUN","2.2"
"2013 JUL","1.2"
"2013 AUG","0.8"
"2013 SEP","0.7"
"2013 OCT","0.8"
"2013 NOV","0.8"
"2013 DEC","1.0"
"2014 JAN","1.2"
"2014 FEB","1.7"
"2014 MAR","1.8"
"2014 APR","0.6"
"2014 MAY","0.0"
"2014 JUN","-0.3"
"2014 JUL","0.5"
"2014 AUG","0.6"
"2014 SEP","0.9"
"2014 OCT","1.4"
"2014 NOV","1.7"
"2014 DEC","2.0"
"2015 JAN","1.8"
"2015 FEB","1.7"
"2015 MAR","2.3"
"2015 APR","2.7"
"2015 MAY","3.1"
"2015 JUN","2.5"
"2015 JUL","2.8"
"2015 AUG","3.0"
"2015 SEP","2.9"
"2015 OCT","2.4"
"2015 NOV","2.0"
"2015 DEC","1.9"
"2016 JAN","2.2"
"2016 FEB","2.0"
"2016 MAR","2.1"
"2016 APR","2.2"
"2016 MAY","2.4"
"2016 JUN","2.6"
"2016 JUL","2.5"
"2016 AUG","2.4"
"2016 SEP","2.4"
"2016 OCT","2.5"
"2016 NOV","2.7"
"2016 DEC","2.5"
"2017 JAN","2.1"
"2017 FEB","2.1"
"2017 MAR","2.3"
"2017 APR","2.2"
"2017 MAY","1.9"
"2017 JUN","2.2"
"2017 JUL","2.2"
"2017 AUG","2.4"
"2017 SEP","2.3"
"2017 OCT","2.6"
"2017 NOV","2.5"
"2017 DEC","2.6"
"2018 JAN","2.7"
"2018 FEB","2.9"
"2018 MAR","2.6"
"2018 APR","2.6"
"2018 MAY","2.5"
"2018 JUN","2.4"
"2018 JUL","2.7"
"2018 AUG","2.9"
"2018 SEP","3.1"
"2018 OCT","3.4"
"2018 NOV","3.4"
"2018 DEC","3.5"
"2019 JAN","3.4"
"2019 FEB","3.6"
"2019 MAR","3.3"
"2019 APR","3.2"
"2019 MAY","3.3"
"2019 JUN","3.9"
"2019 JUL","4.0"
"2019 AUG","3.8"
"2019 SEP","3.8"
"2019 OCT","3.2"
"2019 NOV","3.2"
"2019 DEC","2.7"
"2020 JAN","3.0"
"2020 FEB","2.8"
"2020 MAR","2.2"
"2020 APR","0.9"
"2020 MAY","-0.4"
"2020 JUN","-1.2"
"2020 JUL","-0.9"
"2020 AUG","0.2"
"2020 SEP","1.5"
"2020 OCT","2.8"
"2020 NOV","3.7"
"2020 DEC","4.6"
"2021 JAN","4.8"
"2021 FEB","4.5"
"2021 MAR","4.2"
"2021 APR","5.6"
"2021 MAY","7.4"
"2021 JUN","8.9"
"2021 JUL","8.4"
"2021 AUG","7.2"
"2021 SEP","6.0"
"2021 OCT","5.1"
"2021 NOV","4.4"
"2021 DEC","4.9"
"2022 JAN","5.2"
"2022 FEB","5.9"
"2022 MAR","7.2"
"2022 APR","7.1"
"2022 MAY","6.5"
"2022 JUN","5.3"
"2022 JUL","5.5"
"2022 AUG","6.1"
"2022 SEP","6.0"
"2022 OCT","6.2"
"2022 NOV","6.6"
"2022 DEC","6.2"
"2023 JAN","6.1"
"2023 FEB","5.9"
"2023 MAR","6.2"
"2023 APR","6.7"
"2023 MAY","7.2"
"2023 JUN","8.3"
"2023 JUL","8.5"
"2023 AUG","8.2"
"2023 SEP","7.9"
"2023 OCT","7.1"
"2023 NOV","6.6"
"2023 DEC","5.8"
"2024 JAN","5.8"
"2024 FEB","5.7"
"2024 MAR","5.8"
"2024 APR","5.7"
"2024 MAY","5.7"
"2024 JUN","4.8"
"2024 JUL","4.4"
"2024 AUG","4.1"
"2024 SEP","4.6"
"2024 OCT","5.3"
"2024 NOV","5.5"
"2024 DEC","6.0"
"2025 JAN","5.7"
"2025 FEB","5.7"
"2025 MAR","5.5"
"2025 APR","5.3"
"2025 MAY","5.0"
"2025 JUN","4.7"
"2025 JUL","4.9"
"2025 AUG","5.0"
"2025 SEP","4.9"
"2025 OCT","4.8"
"2025 NOV","4.6"
"2025 DEC","4.2"
"2026 JAN","4.1"
"2026 FEB","3.9"
"2026 MAR","4.4"
"2026 APR","4.4"
"2026 MAY","4.4"
"2026 JUN","4.2"
"2026 JUL","3.9"
